question,answer
How do I reset my password?,Visit the IT portal and select Forgot Password.
Where is the registrar office?,The registrar office is located in Building A room 210.
How do I pay tuition?,Tuition can be paid online through the finance portal.
How do I contact technical support?,Email support@university.edu.
What are the library hours?,The library is open from 8 AM to 10 PM.
How do I register for courses?,Log into the student portal and open course registration.
How can I apply for scholarships?,Visit the scholarships section on the university website.
How do I request a transcript?,Submit a transcript request through the registrar portal online.
Where can I find my class schedule?,Your class schedule is available on the student portal under My Schedule.
How do I drop a course?,Log into the student portal and navigate to Course Management to drop a course.
What is the deadline to withdraw from a course?,The withdrawal deadline is posted on the academic calendar on the university website.
How do I appeal a grade?,Submit a grade appeal form to your faculty department within 30 days of receiving your grade.
Where is the student health center?,The student health center is located in Building C room 105.
How do I get a student ID card?,Visit the campus security office in Building B with proof of enrollment.
What documents do I need for admission?,Admission requires transcripts high school diploma and two reference letters.
How do I apply for financial aid?,Complete the financial aid application on the student portal under Financial Services.
Where can I park on campus?,Student parking is available in Lots B and D. A parking permit is required.
How do I connect to campus WiFi?,Select the CampusNet network and log in with your student credentials.
How do I access my student email?,Your student email is accessible at mail.university.edu using your student ID and password.
What is the refund policy for dropped courses?,Refunds are processed within 10 business days after a course is officially dropped.
How do I book an appointment with an academic advisor?,Advisor appointments can be booked through the advising portal or by calling the advising office.
Where is the cafeteria located?,The main cafeteria is located in the Student Union building on the ground floor.
How do I submit an assignment online?,Assignments are submitted through the course management system accessible from the student portal.
What should I do if I feel unsafe on campus?,Contact campus security immediately at the emergency line or use any campus emergency phone.
How do I request accommodation for a disability?,Contact the accessibility services office in Building D to request an accommodation plan.
